Exhibit,Place,ExhibitType,Iscrowded,AttractsQueue,Queued,TourGroup,Alone,Adult,Teenager,Child,Family,NumberOfPeople,Sex,Age,Discussion,Teaching,PhotoTaking,HeadphoneGuide,GuidedTour,ExhibitLength,TimeAtExhibit,Engagement,RelevanceToContents,QualityOfExhibit
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,5,3,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,24,0,0,0,0,0,5,4,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,44,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,4,1,24,1,0,0,0,0,5,1,2,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,5,4,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,5,0.5,1,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,1,1,2,0,54,1,1,0,0,0,5,3,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,1,0,1,1,0,0,0,1,1,44,0,0,0,0,0,5,3,3,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,1,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,5,1,2,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,0,44,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,0,1,0,0,2,0,17,1,0,0,0,0,5,2,2,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,0,1,0,0,0,2,0,34,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,0,1,0,0,1,1,17,0,0,0,0,0,5,0.5,0,5,3
i2D.Beijing.3Kingdoms,Beijing,i2D,0,0,0,0,1,1,0,0,0,1,1,44,0,0,0,0,0,5,0.5,0,5,3
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,1,4,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,0.5,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,10,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,0,1,1,0,1,2,1,17,1,1,0,0,0,10,10,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,0,1,1,0,1,2,1,17,1,1,0,0,0,10,4,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,1,0,1,0,0,1,1,17,0,0,0,0,0,10,2,5,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,0,0,2,0,24,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,0,0,2,0,24,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,0,1,0,0,1,3,1,54,0,0,0,0,0,10,2,4,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,10,1,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,4,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,3,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,1,0,1,1,0,0,0,1,0,34,0,0,0,0,0,10,3,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,1,0,0,1,0,1,1,2,1,12,0,0,0,0,0,10,1,4,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,1,64,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,1,1,3,0,12,0,0,0,0,0,10,0.5,2,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,1,1,0,0,0,1,0,24,0,0,0,0,0,10,0.5,0,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,3,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,1,3,5,5
i3D.Beijing.Storytelling,Beijing,i3D,0,1,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,2,3,5,5
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,1,0,1,1,0,0,0,1,0,24,0,0,0,0,0,4,4,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,1,0,1,1,0,0,0,1,1,34,0,0,0,0,0,4,4,5,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,1,0,0,1,0,0,0,2,1,24,0,0,0,0,0,4,2,4,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,0,0,0,1,0,0,0,3,0,24,0,0,0,0,0,4,3,5,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,1,0,0,1,0,0,0,3,0,24,0,0,0,0,0,4,1,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,1,0,0,1,0,0,0,3,0,24,0,0,0,0,0,4,1,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,1,0,0,1,0,0,0,2,1,24,0,0,0,0,0,4,2,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,0,0,0,1,0,0,0,3,0,34,1,0,0,0,0,4,2,4,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,4,4,5,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,0,0,0,1,0,0,0,6,0,34,1,0,0,0,0,4,4,4,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,1,0,0,1,0,0,1,2,1,64,0,0,0,0,0,4,0.5,1,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,1,0,1,1,0,0,0,1,1,34,0,0,0,0,0,4,5,4,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,1,0,0,1,0,0,1,2,0,54,0,0,0,0,0,4,3,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,1,0,0,1,0,0,0,4,0,24,0,0,0,0,0,4,4,5,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,1,0,0,1,0,0,0,4,1,34,0,0,0,0,0,4,4,5,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,1,0,0,1,0,0,0,4,1,34,0,0,0,0,0,4,2,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,1,0,0,1,0,0,0,4,1,24,1,0,0,0,0,4,2,5,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,0,0,0,1,0,0,0,2,0,34,1,0,0,0,0,4,2,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,0,0,0,1,0,0,0,2,0,34,1,0,0,0,0,4,2,3,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,0,0,0,1,0,0,0,2,0,24,1,0,0,0,0,4,2,5,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,1,0,0,0,1,0,0,0,2,1,34,1,0,1,0,0,4,5,4,5,2
VR.Chengdu.ArchaeologicalSite,Chengdu,VR,0,0,0,0,0,1,0,0,0,3,0,54,1,0,0,0,0,4,1,3,5,2
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,0,1,0,0,0,2,0,34,1,0,0,0,0,10,2,3,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,1,0,0,0,1,0,0,1,2,1,64,0,0,1,0,0,10,3,4,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,10,2,3,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,10,1,2,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,0,0,1,0,54,0,0,0,0,0,10,2,2,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,1,0,0,0,1,0,0,0,2,1,24,0,0,0,0,0,10,1,2,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,3,3,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,0,1,0,0,1,1,17,0,0,0,0,0,10,1,2,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,1,2,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,0,1,0,1,1,3,0,12,1,1,0,0,0,10,3,5,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,1,1,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,1,0,0,0,1,0,0,1,4,1,54,0,0,0,0,0,10,5,5,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,2,4,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,1,0,0,1,1,0,0,0,1,1,34,0,0,1,0,0,10,4,4,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,0,1,0,1,1,3,1,44,1,0,1,0,0,10,2,3,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,1,0,0,0,1,0,1,1,4,0,44,1,0,1,0,0,10,2,3,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,0.5,1,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,0,1,0,1,1,4,0,54,1,0,1,0,0,10,3,5,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,1,1,3,0,12,0,0,0,0,0,10,0.5,2,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,1,0,0,1,0,0,1,0,1,0,44,0,0,0,0,0,10,4,5,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,0,1,0,0,0,2,1,24,0,0,0,0,0,10,2,4,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,1,0,0,1,1,0,0,0,1,1,24,0,0,0,0,0,10,1,2,5,4
Multitouch2D.Chengdu.GlobalAncientCultures,Chengdu,Multitouch2D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,10,1,1,5,4
i2D.Chengdu.WorkingWithMaterials,Chengdu,i2D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,10,0.5,1,5,4
i2D.Chengdu.WorkingWithMaterials,Chengdu,i2D,0,0,0,0,1,1,0,0,0,1,0,24,0,0,0,0,0,10,1,2,5,4
i2D.Chengdu.WorkingWithMaterials,Chengdu,i2D,0,0,1,0,0,1,0,0,1,2,0,34,0,0,0,0,0,10,4,3,5,4
i2D.Chengdu.WorkingWithMaterials,Chengdu,i2D,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,10,0.5,0,5,4
i2D.Chengdu.WorkingWithMaterials,Chengdu,i2D,0,0,0,0,0,1,0,0,1,2,1,34,0,0,0,0,0,10,2,4,5,4
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,0,24,0,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,0,0,2,0,24,0,0,0,0,0,0.5,0.5,1,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,1,0,3,1,64,0,0,0,0,0,0.5,0.5,1,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,0.5,0.5,1,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,1,0,0,0,1,0,0,0,3,0,24,1,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,1,0,0,1,0,0,0,4,1,12,0,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,0.5,1,3,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,2,0,24,0,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,44,0,0,0,0,0,0.5,0.5,0,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,0,1,2,0,24,0,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,0.5,0.5,0,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,0,1,2,0,34,1,0,0,0,0,0.5,2,3,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,24,0,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,1,1,8,0,12,0,0,0,0,0,0.5,1,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,0,1,5,1,34,1,0,0,0,0,0.5,2,4,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,1,0,0,0,1,0,1,1,5,1,12,1,1,0,0,0,0.5,4,5,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,1,0,0,1,0,0,0,6,0,24,1,0,0,0,0,0.5,2,4,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,1,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,0.5,1,3,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,1,1,0,1,1,0,0,0,1,1,24,1,0,0,0,0,0.5,3,5,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,1,1,3,1,12,0,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,0.5,0.5,0,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,1,1,2,1,34,0,0,0,0,0,0.5,0.5,0,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,1,0,0,0,1,0,0,0,2,0,24,1,0,0,0,0,0.5,0.5,2,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,1,0,0,0,1,0,0,0,2,0,34,1,0,1,0,0,0.5,1,0,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,1,0,0,1,0,0,0,3,0,24,0,0,0,1,0,0.5,2,1,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,0.5,0.5,0,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,1,1,3,1,12,0,0,0,0,0,0.5,0.5,1,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,0,1,0,0,0,2,1,24,0,0,0,0,0,0.5,0.5,0,5,3
i3D.Chengdu.HeroModels,Chengdu,i3D,0,0,0,0,1,1,0,0,0,1,1,24,0,0,0,0,0,0.5,0.5,1,5,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,1,0,0,1,0,0,0,2,0,44,1,0,0,0,0,4,5,3,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,1,0,0,1,0,0,0,2,1,34,1,0,1,0,0,4,4,4,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,1,0,1,1,0,0,0,1,1,34,0,0,0,0,0,4,3,2,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,1,0,0,1,0,0,0,2,1,34,0,0,0,0,0,4,2,2,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,0,0,1,1,0,0,0,1,1,54,0,0,0,0,0,4,2,2,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,0,0,1,1,0,0,0,1,0,44,0,0,0,0,0,4,2,2,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,0,0,0,1,0,0,0,2,0,24,1,0,0,0,0,4,2,2,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,1,0,0,0,1,0,0,0,3,0,34,1,0,0,0,0,4,4,3,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,1,0,1,1,0,0,0,1,1,34,0,0,0,0,0,4,1,1,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,1,0,1,1,0,0,0,1,1,34,0,0,1,0,0,4,3,3,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,4,4,4,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,4,3,2,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,0,0,0,1,0,0,0,2,0,24,1,0,0,0,0,4,3,3,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,1,0,0,1,0,0,0,2,0,34,0,0,0,0,0,4,1,1,4,3
VR.Chengdu.AncientActivities,Chengdu,VR,0,0,0,0,0,1,0,0,0,3,0,74,1,0,0,0,0,4,1,1,4,3
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,3,0.5,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,2,0,34,1,0,0,0,0,3,2,2,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,2,0,34,1,0,0,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,1,0,3,0,12,1,0,0,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,3,0.5,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,1,0,2,0,12,0,0,0,0,0,3,2,2,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,2,1,34,0,0,0,0,0,3,2,2,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,0,24,0,0,0,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,3,0,34,1,0,0,0,0,3,2,3,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,2,0,24,0,0,0,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,1,1,3,1,12,0,0,0,0,0,3,2,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,3,0.5,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,0,0,1,0,1,1,12,0,0,0,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,1,34,0,0,0,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,2,0,24,1,0,0,0,0,3,2,2,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,0,24,0,0,0,0,0,3,2,2,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,0,34,0,0,0,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,1,1,0,0,0,1,0,44,0,0,1,0,0,3,1,1,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,3,0,34,0,0,0,0,0,3,2,2,2,2
Projection.Chengdu.Video,Chengdu,Projection,0,0,0,0,0,1,0,0,0,2,0,34,1,0,0,0,0,3,2,3,2,2
